age,gender,annual_income,occupation,state,social_category,eligible_scheme
21,Female,150000,Farmer / Agricultural worker,Rajasthan,SC,PM SVANidhi
56,Male,150000,Salaried (government),West Bengal,General,PM SVANidhi
37,Female,420000,Homemaker,Maharashtra,EWS,Sukanya Samriddhi Yojana
42,Female,80000,Self-employed / Small business,Tamil Nadu,OBC,PM Jan Dhan Yojana
45,Female,650000,Student,Bihar,SC,PM SVANidhi
29,Male,280000,Self-employed / Small business,West Bengal,ST,PM Mudra Yojana
19,Female,650000,Self-employed / Small business,Maharashtra,General,PM SVANidhi
60,Male,150000,Daily-wage labourer,Tamil Nadu,General,National Scholarship Portal
31,Male,650000,Student,Karnataka,SC,National Scholarship Portal
39,Male,150000,Daily-wage labourer,Uttar Pradesh,ST,MGNREGA
48,Male,150000,Student,West Bengal,General,Ayushman Bharat – PM-JAY
40,Male,150000,Salaried (private),Uttar Pradesh,OBC,PM Jan Dhan Yojana
65,Female,150000,Daily-wage labourer,Tamil Nadu,General,PM Fasal Bima Yojana
37,Male,150000,Daily-wage labourer,Gujarat,ST,Atal Pension Yojana
55,Male,420000,Daily-wage labourer,Bihar,EWS,PM Awas Yojana (Gramin)
72,Male,650000,Homemaker,Andhra Pradesh,EWS,Pradhan Mantri Ujjwala Yojana
21,Female,420000,Salaried (government),Maharashtra,SC,PM Garib Kalyan Anna Yojana
32,Female,420000,Daily-wage labourer,Rajasthan,ST,Atal Pension Yojana
41,Female,80000,Farmer / Agricultural worker,Odisha,General,PM SVANidhi
42,Female,80000,Farmer / Agricultural worker,Bihar,General,PM Jan Dhan Yojana
18,Female,80000,Student,Andhra Pradesh,EWS,Ayushman Bharat – PM-JAY
24,Female,280000,Salaried (private),Odisha,EWS,PM Matru Vandana Yojana
74,Female,80000,Salaried (government),West Bengal,OBC,Ayushman Bharat – PM-JAY
48,Male,650000,Homemaker,Odisha,EWS,PM SVANidhi
29,Male,420000,Student,Karnataka,OBC,PM Mudra Yojana
59,Female,650000,Farmer / Agricultural worker,Bihar,General,PM Mudra Yojana
22,Male,80000,Salaried (government),Uttar Pradesh,OBC,Atal Pension Yojana
61,Male,280000,Salaried (government),Gujarat,OBC,PM Fasal Bima Yojana
67,Female,280000,Salaried (private),Rajasthan,SC,PM Garib Kalyan Anna Yojana
59,Male,420000,Salaried (government),Uttar Pradesh,EWS,MGNREGA
55,Male,650000,Daily-wage labourer,Andhra Pradesh,OBC,PM Mudra Yojana
29,Female,150000,Salaried (government),Bihar,General,Pradhan Mantri Ujjwala Yojana
56,Male,650000,Salaried (private),Gujarat,ST,PM Jan Dhan Yojana
35,Female,80000,Student,Odisha,OBC,Pradhan Mantri Ujjwala Yojana
19,Female,150000,Salaried (private),Bihar,EWS,MGNREGA
27,Male,280000,Homemaker,Odisha,SC,PM Kisan Samman Nidhi
32,Male,420000,Salaried (private),West Bengal,General,PM Kisan Samman Nidhi
47,Male,420000,Farmer / Agricultural worker,Karnataka,SC,Ayushman Bharat – PM-JAY
